BEN_REG,sexe,age,GEN_NUM,CIP13,total_boites
11,1,20,814,3400938621914,634
11,1,20,814,3400939909608,302
11,1,20,815,3400949626298,120
11,1,60,815,3400922161709,2703
11,1,60,815,3400927384318,56
11,1,60,815,3400939279961,70
11,2,20,814,3400922161587,1694
11,2,20,814,3400949625529,101
11,2,20,815,3400938015164,983
11,2,20,815,3400949625987,120
11,2,60,814,3400921866643,33997
11,2,60,814,3400939278551,336
11,2,60,815,3400922161648,3514
11,2,60,815,3400938014914,5608
11,2,60,815,3400939511092,8587
24,1,20,814,3400921866643,1793
24,1,20,814,3400938621914,190
24,1,20,814,3400939278551,163
24,1,20,815,3400922161648,124
24,1,20,815,3400938014914,117
24,1,20,815,3400939511092,701
24,1,60,814,3400922161419,957
24,1,60,814,3400922162997,2896
24,1,60,814,3400927384257,36
24,1,60,814,3400938014792,876
24,1,60,814,3400939278902,441
24,1,60,814,3400939507941,3682
24,1,60,814,3400939914749,28
24,1,60,815,3400922164489,2066
24,1,60,815,3400927384486,19
24,1,60,815,3400938681185,468
24,1,60,815,3400939914459,39
24,2,20,814,3400938014853,261
24,2,20,815,3400939510491,437
24,2,60,814,3400922164199,2811
24,2,60,814,3400938632040,697
24,2,60,814,3400949625178,1000
24,2,60,815,3400921867992,5545
24,2,60,815,3400922165141,1626
27,1,20,814,3400939507361,783
27,1,60,814,3400922161587,1167
27,1,60,814,3400938632040,1917
27,1,60,814,3400949625178,329
27,1,60,815,3400921867992,5850
27,2,20,814,3400922161419,281
27,2,20,814,3400922162997,272
27,2,20,814,3400938014792,169
27,2,20,814,3400939278902,54
27,2,20,814,3400939507941,1027
27,2,20,814,3400939914749,57
27,2,20,815,3400922164489,87
27,2,20,815,3400938681185,278
27,2,20,815,3400939914459,26
27,2,60,815,3400921868654,4587
27,2,60,815,3400938679007,2250
27,2,60,815,3400939914169,56
28,1,20,814,3400921867244,3096
28,1,20,815,3400949626298,23
28,1,60,815,3400922161709,546
28,1,60,815,3400939279961,32
28,2,20,814,3400922161587,267
28,2,20,814,3400949625529,29
28,2,20,815,3400938015164,120
28,2,20,815,3400949625987,26
28,2,60,814,3400921866643,15295
28,2,60,814,3400938621914,2339
28,2,60,814,3400939278551,187
28,2,60,815,3400922161648,1078
28,2,60,815,3400938014914,1464
28,2,60,815,3400939511092,2699
32,1,20,814,3400922161419,1128
32,1,20,814,3400922162997,769
32,1,20,814,3400938014792,319
32,1,20,814,3400939278902,20
32,1,20,814,3400939507941,6025
32,1,20,814,3400939914749,63
32,1,20,815,3400922164489,511
32,1,20,815,3400927384486,16
32,1,20,815,3400938681185,499
32,1,20,815,3400939914459,39
32,1,60,814,3400926775636,41
32,1,60,815,3400921868654,8521
32,1,60,815,3400938679007,1235
32,2,20,814,3400922164199,1857
32,2,20,814,3400938632040,839
32,2,20,814,3400949625178,52
32,2,20,815,3400921867992,1722
32,2,20,815,3400922161648,621
32,2,20,815,3400922165141,812
32,2,60,814,3400921867244,16404
32,2,60,814,3400927384196,126
32,2,60,814,3400927384257,46
32,2,60,814,3400939909608,357
32,2,60,815,3400949626298,107
44,1,20,814,3400939507361,788
44,1,20,815,3400926775865,49
44,1,20,815,3400926775926,46
44,1,60,814,3400922161587,1983
44,1,60,814,3400926775575,324
44,1,60,814,3400938632040,1490
44,1,60,814,3400949625178,1182
44,1,60,815,3400921867992,4904
44,1,60,815,3400939279442,96
44,2,20,814,3400922161419,381
44,2,20,814,3400922162997,438
5,1,20,814,3400921866643,2179
5,1,20,814,3400921867244,819
5,1,20,814,3400922161587,1424
5,1,20,814,3400938621914,397
5,1,20,814,3400938632040,81
5,1,20,815,3400921867992,1833
5,1,20,815,3400938014914,233
5,1,60,814,3400922161419,11561
5,1,60,815,3400939511092,18
5,2,20,815,3400938015164,174
5,2,20,815,3400938679007,595
5,2,20,815,3400939510491,16
5,2,60,814,3400922164199,667
5,2,60,814,3400938014853,850
5,2,60,815,3400922161648,15776
5,2,60,815,3400922165141,331
11,1,0,814,3400921867244,21
11,1,20,814,3400922161419,1288
11,1,20,814,3400939278551,76
11,1,20,814,3400939278902,120
11,1,20,814,3400939914749,192
11,1,20,815,3400939511092,4001
11,1,60,814,3400922162997,13445
11,1,60,814,3400926775636,18
11,1,60,814,3400927384196,225
11,1,60,814,3400938014792,4648
11,1,60,814,3400939507941,14457
11,1,60,815,3400921868654,11910
11,1,60,815,3400922164489,8817
11,1,60,815,3400927384486,56
11,1,60,815,3400938681185,1084
11,1,60,815,3400939914459,224
11,2,20,814,3400922164199,5749
11,2,20,814,3400938014853,1984
11,2,20,814,3400949625178,168
11,2,20,815,3400922161648,862
11,2,20,815,3400922165141,2207
11,2,60,814,3400921867244,25934
11,2,60,814,3400927384257,128
11,2,60,814,3400938621914,2137
11,2,60,814,3400938632040,1287
11,2,60,814,3400939909608,819
11,2,60,815,3400921867992,18734
24,1,20,814,3400922164199,714
24,1,20,814,3400949625178,222
24,1,20,815,3400922165141,477
24,1,20,815,3400949626298,69
24,1,60,814,3400921866643,6459
24,1,60,814,3400921867244,5642
24,1,60,814,3400938621914,832
24,1,60,814,3400939909608,81
24,2,20,814,3400922161587,350
24,2,20,814,3400939507361,987
24,2,60,814,3400939278551,633
24,2,60,814,3400949625529,292
24,2,60,815,3400938015164,898
24,2,60,815,3400939279442,149
24,2,60,815,3400939510491,3487
24,2,60,815,3400939511092,2413
24,2,60,815,3400949625987,984
27,1,20,814,3400949625529,45
27,1,20,815,3400938015164,213
27,1,20,815,3400938679007,327
27,1,20,815,3400939510491,433
27,1,20,815,3400949625987,68
27,1,60,814,3400922164199,1516
27,1,60,814,3400938014853,966
27,1,60,815,3400922161648,867
27,1,60,815,3400922165141,1082
27,2,20,815,3400922161709,153
27,2,20,815,3400949626298,23
27,2,60,814,3400939507361,4419
28,1,20,814,3400921866643,2405
28,1,20,814,3400922162997,252
28,1,20,814,3400938014792,192
28,1,20,814,3400938621914,351
28,1,20,814,3400939507941,1336
28,1,20,815,3400922161648,210
28,1,20,815,3400922164489,250
28,1,20,815,3400938014914,126
28,1,20,815,3400938681185,226
28,1,60,814,3400922161419,912
28,1,60,814,3400939278902,100
28,1,60,815,3400938679007,1083
28,2,20,814,3400938632040,317
28,2,20,815,3400921867992,1036
28,2,20,815,3400939510491,306
28,2,60,814,3400922164199,2671
28,2,60,814,3400949625178,286
28,2,60,815,3400922165141,1604
28,2,60,815,3400949626298,67
32,1,20,814,3400921866643,3263
32,1,20,814,3400921867244,5943
32,1,20,814,3400927384257,21
32,1,20,814,3400938621914,650
32,1,20,814,3400939909608,71
32,1,20,815,3400927384318,28
32,1,60,815,3400922161709,2835
32,1,60,815,3400926775926,45
32,1,60,815,3400939914169,163
32,2,20,814,3400926775575,31
32,2,20,814,3400949625529,45
32,2,20,815,3400938015164,317
32,2,20,815,3400939511092,2720
32,2,20,815,3400949625987,38
32,2,60,814,3400921866643,15016
32,2,60,814,3400922162997,3676
32,2,60,814,3400938014792,3198
32,2,60,814,3400938621914,3659
32,2,60,814,3400939507941,15767
32,2,60,815,3400922161648,4628
32,2,60,815,3400922164489,2366
32,2,60,815,3400927384486,18
32,2,60,815,3400938014914,2558
32,2,60,815,3400938681185,1589
32,2,60,815,3400939914459,114
44,1,20,814,3400922161587,825
44,1,20,814,3400926775636,56
44,1,20,814,3400938014853,523
5,1,20,815,3400921868654,538
5,1,20,815,3400922161709,1074
5,1,60,814,3400938014853,359
5,1,60,815,3400939510491,45
5,2,20,814,3400921866643,3535
5,2,20,814,3400921867244,1264
5,2,20,814,3400938621914,632
5,2,60,814,3400938014792,2010
5,2,60,815,3400922164489,1523
11,1,20,814,3400939507361,6500
11,1,60,814,3400922164199,11637
11,1,60,814,3400938632040,996
11,1,60,814,3400949625178,487
11,1,60,815,3400921867992,17044
11,1,60,815,3400939279442,102
11,2,20,814,3400922161419,1533
11,2,20,814,3400922162997,4931
11,2,20,814,3400938014792,1871
11,2,20,814,3400939278902,106
11,2,20,815,3400922164489,2293
11,2,20,815,3400927384486,17
11,2,20,815,3400938681185,289
11,2,20,815,3400939914459,85
11,2,60,814,3400926775636,15
11,2,60,815,3400921868654,11390
11,2,60,815,3400938679007,1398
11,2,60,815,3400939914169,441
24,1,20,815,3400921868654,1150
24,1,20,815,3400938679007,139
24,1,60,814,3400922161587,1139
24,1,60,814,3400938014853,848
24,1,60,814,3400949625529,283
24,1,60,815,3400938015164,589
24,1,60,815,3400939279442,161
24,1,60,815,3400939510491,3049
24,1,60,815,3400949625987,829
24,2,20,814,3400921867244,2210
24,2,20,814,3400939507941,1324
24,2,20,814,3400939914749,14
24,2,20,815,3400938681185,102
24,2,20,815,3400949626298,69
24,2,60,815,3400922161709,791
24,2,60,815,3400927384318,25
24,2,60,815,3400939279961,71
27,1,20,814,3400921866643,1876
27,1,20,814,3400921867244,2410
27,1,20,814,3400938621914,603
27,1,20,814,3400939909608,48
27,1,20,815,3400939511092,560
27,1,20,815,3400949626298,44
27,1,60,815,3400922164489,995
27,1,60,815,3400939914459,118
27,2,20,814,3400922161587,354
27,2,20,814,3400949625529,29
27,2,20,815,3400938015164,161
27,2,20,815,3400939510491,304
27,2,20,815,3400949625987,40
27,2,60,814,3400939278551,325
27,2,60,815,3400922161648,1003
27,2,60,815,3400922165141,960
27,2,60,815,3400938014914,1178
28,1,20,814,3400938014853,317
28,1,20,814,3400939507361,860
28,1,60,814,3400922164199,2068
28,1,60,814,3400938632040,924
28,1,60,814,3400949625178,154
28,1,60,815,3400921867992,7566
28,2,20,814,3400922161419,415
28,2,20,814,3400922162997,326
28,2,20,814,3400938014792,207
28,2,20,814,3400939278902,36
28,2,20,815,3400922164489,111
28,2,20,815,3400938681185,123
28,2,60,815,3400921868654,5437
28,2,60,815,3400938679007,1467
32,1,20,814,3400922161587,1872
32,1,20,814,3400926775575,26
32,1,20,814,3400938014853,521
32,1,20,814,3400949625529,51
32,1,20,815,3400938015164,417
32,1,20,815,3400939510491,2202
32,1,20,815,3400949625987,42
32,1,60,814,3400939278551,38
32,1,60,815,3400922161648,2751
32,1,60,815,3400922165141,2549
32,1,60,815,3400938014914,1229
32,2,20,814,3400926775636,19
32,2,20,815,3400922161709,822
32,2,60,814,3400939507361,16812
32,2,60,815,3400926775926,46
44,1,20,814,3400921866643,1943
44,1,20,814,3400921867244,3607
44,1,20,814,3400938621914,245
44,1,20,815,3400949626298,290
44,1,60,815,3400922164489,1129
44,1,60,815,3400939279961,140
44,1,60,815,3400939914459,28
44,2,20,814,3400922161587,822
44,2,20,814,3400926775575,51
44,2,20,814,3400949625529,325
44,2,20,815,3400938015164,244
44,2,20,815,3400939279442,19
44,2,20,815,3400939510491,377
44,2,20,815,3400949625987,306
44,2,60,814,3400939278551,730
44,2,60,815,3400922161648,1625
44,2,60,815,3400922165141,1528
44,2,60,815,3400938014914,2127
44,2,60,815,3400939511092,2701
52,1,20,815,3400922161709,121
52,1,20,815,3400939279961,15
52,1,60,814,3400939507361,4683
52,1,60,815,3400938679007,649
52,2,20,814,3400921866643,1182
52,2,20,814,3400938621914,227
52,2,20,814,3400939278551,59
52,2,20,815,3400922161648,53
52,2,20,815,3400938014914,94
52,2,20,815,3400939511092,1073
5,1,20,814,3400938014792,226
5,1,20,815,3400922164489,272
5,1,60,815,3400938015164,316
5,1,60,815,3400938679007,1242
5,2,20,814,3400922161419,5572
5,2,60,814,3400922162997,1869
5,2,60,814,3400939507941,44
5,2,60,815,3400921868654,1704
5,2,60,815,3400922161709,2940
5,2,60,815,3400938681185,206
11,1,20,814,3400949625529,97
11,1,20,815,3400938015164,1002
11,1,20,815,3400938679007,342
11,1,20,815,3400939279442,28
11,1,20,815,3400939510491,3546
11,1,20,815,3400939914169,113
11,1,20,815,3400949625987,202
11,1,60,814,3400922161587,3807
11,1,60,814,3400938014853,4205
11,1,60,815,3400922161648,3274
11,1,60,815,3400922165141,7031
11,1,60,815,3400938014914,2983
11,2,20,814,3400926775636,13
11,2,20,814,3400927384196,44
11,2,20,814,3400939507941,7125
11,2,20,815,3400922161709,749
11,2,20,815,3400939279961,15
11,2,20,815,3400949626298,64
11,2,60,814,3400939507361,22883
11,2,60,815,3400926775865,54
11,2,60,815,3400927384318,84
24,1,20,814,3400938014853,202
24,1,20,815,3400922161709,241
24,1,20,815,3400939279961,20
24,1,60,814,3400938632040,521
24,1,60,814,3400939507361,4303
24,1,60,815,3400921867992,4713
24,2,20,814,3400921866643,1633
24,2,20,814,3400922162997,776
24,2,20,814,3400938014792,296
24,2,20,814,3400938621914,239
24,2,20,814,3400939909608,27
24,2,20,815,3400922164489,244
24,2,20,815,3400938014914,63
24,2,60,814,3400922161419,1510
24,2,60,814,3400939278902,509
24,2,60,814,3400939914749,39
24,2,60,815,3400938679007,692
24,2,60,815,3400939914169,107
27,1,20,814,3400922161419,360
27,1,20,814,3400939278551,51
27,1,20,814,3400939278902,58
27,1,20,814,3400939914749,66
27,1,60,814,3400922162997,1380
27,1,60,814,3400938014792,723
27,1,60,814,3400939507941,2939
27,1,60,815,3400921868654,4459
27,1,60,815,3400922161709,755
27,1,60,815,3400938681185,1556
27,1,60,815,3400939279961,26
27,1,60,815,3400949626298,144
27,2,20,814,3400922164199,514
27,2,20,814,3400938014853,257
27,2,20,814,3400949625178,75
27,2,20,815,3400922165141,157
27,2,60,814,3400921866643,11060
27,2,60,814,3400921867244,8303
27,2,60,814,3400938621914,3863
27,2,60,814,3400938632040,2387
27,2,60,814,3400939909608,226
27,2,60,815,3400921867992,6659
28,1,20,814,3400922161587,289
28,1,20,815,3400921868654,1667
28,1,60,814,3400939278551,105
28,1,60,814,3400949625529,98
28,1,60,815,3400938015164,727
28,1,60,815,3400939279442,11
28,1,60,815,3400939510491,2652
28,1,60,815,3400949625987,197
28,2,20,814,3400921867244,3094
28,2,60,814,3400938014853,1955
28,2,60,815,3400922161709,564
28,2,60,815,3400926775926,18
28,2,60,815,3400939279961,19
32,1,20,814,3400938632040,872
32,1,20,814,3400939507361,3560
32,1,20,815,3400921867992,2018
32,1,20,815,3400926775865,30
32,1,60,814,3400922164199,3331
32,1,60,814,3400949625178,122
32,1,60,815,3400939511092,8972
32,1,60,815,3400949626298,86
32,2,20,814,3400922161419,1187
32,2,20,814,3400939278902,20
32,2,20,815,3400938679007,260
32,2,20,815,3400939914169,25
32,2,60,814,3400922161587,4842
32,2,60,814,3400926775636,67
32,2,60,814,3400938014853,3476
32,2,60,815,3400921868654,9410
32,2,60,815,3400926775865,112
44,1,20,814,3400922162997,370
44,1,20,814,3400938014792,267
44,1,20,814,3400939507941,1618
44,1,20,815,3400922161648,256
44,1,20,815,3400922164489,192
44,1,20,815,3400922165141,502
44,1,20,815,3400938014914,182
44,1,20,815,3400938681185,414
44,1,20,815,3400939914459,21
44,1,60,814,3400922161419,1262
44,1,60,814,3400939278902,814
44,1,60,814,3400939914749,61
44,2,20,814,3400938632040,555
44,2,20,814,3400939507361,744
44,2,20,815,3400921867992,770
44,2,60,814,3400922164199,2715
44,2,60,814,3400949625178,1639
44,2,60,815,3400949626298,1038
5,1,20,814,3400922162997,355
5,1,20,814,3400939507941,14
5,1,20,815,3400938015164,109
5,1,20,815,3400938681185,56
5,1,60,814,3400922164199,449
5,1,60,815,3400921868654,1191
5,1,60,815,3400922161709,2344
5,1,60,815,3400922165141,208
5,2,20,814,3400938632040,178
5,2,20,815,3400921867992,2254
5,2,60,815,3400939511092,37
11,1,20,814,3400938632040,616
11,1,20,814,3400949625178,220
11,1,20,815,3400921867992,5798
11,1,20,815,3400939279961,24
11,1,60,814,3400939909608,680
11,1,60,815,3400926775865,12
11,1,60,815,3400926775926,21
11,1,60,815,3400939511092,9448
11,1,60,815,3400939914169,348
11,2,20,814,3400921866643,9316
11,2,20,814,3400938621914,683
11,2,20,814,3400939278551,87
11,2,20,815,3400921868654,3866
11,2,20,815,3400938014914,835
11,2,20,815,3400938679007,325
11,2,60,814,3400922161419,5887
11,2,60,814,3400922161587,4911
11,2,60,814,3400926775575,24
11,2,60,814,3400938014792,10616
11,2,60,814,3400938014853,9018
11,2,60,814,3400939278902,349
11,2,60,814,3400949625529,240
11,2,60,815,3400939510491,12783
11,2,60,815,3400949625987,559
24,1,20,814,3400922161419,168
24,1,20,814,3400922162997,643
24,1,20,814,3400939278902,138
24,1,20,814,3400939507941,1312
24,1,20,814,3400949625529,80
24,1,20,815,3400922164489,293
24,1,20,815,3400927384486,14
24,1,20,815,3400938681185,150
24,1,20,815,3400939510491,585
24,1,20,815,3400949625987,145
24,1,60,814,3400939278551,647
24,1,60,815,3400922161648,878
24,1,60,815,3400938679007,643
24,2,20,814,3400922164199,796
24,2,20,814,3400938632040,232
24,2,20,815,3400921867992,850
24,2,20,815,3400921868654,844
24,2,20,815,3400922161709,143
24,2,20,815,3400922165141,363
24,2,60,814,3400921867244,6859
24,2,60,814,3400939507361,5951
24,2,60,814,3400939507941,4504
27,1,20,814,3400922164199,508
27,1,20,815,3400922161709,211
27,1,60,814,3400921866643,7496
27,1,60,814,3400921867244,6840
27,1,60,814,3400938621914,2770
27,1,60,814,3400939507361,3062
27,1,60,815,3400938014914,532
27,1,60,815,3400938679007,1848
27,2,20,815,3400922161648,164
27,2,20,815,3400939511092,380
27,2,60,814,3400922162997,1939
27,2,60,814,3400927384257,19
27,2,60,814,3400939507941,4005
27,2,60,814,3400939914749,237
27,2,60,815,3400922164489,1127
27,2,60,815,3400938015164,1101
27,2,60,815,3400938681185,1411
27,2,60,815,3400939279442,21
27,2,60,815,3400939914459,132
28,1,20,814,3400949625178,38
28,1,60,815,3400949626298,82
28,2,20,814,3400921866643,2528
28,2,20,814,3400938621914,378
28,2,20,814,3400939507361,893
28,2,20,815,3400921868654,1018
28,2,20,815,3400938014914,80
28,2,20,815,3400939511092,502
28,2,60,814,3400922161419,1464
28,2,60,814,3400922162997,1902
28,2,60,814,3400939278902,155
28,2,60,814,3400939507941,4433
28,2,60,814,3400949625529,120
28,2,60,815,3400922164489,1076
28,2,60,815,3400938681185,782
28,2,60,815,3400939510491,3102
28,2,60,815,3400949625987,285
32,1,20,814,3400926775636,21
32,1,20,815,3400922161648,782
32,1,20,815,3400938679007,399
32,1,60,814,3400922161587,3306
32,1,60,814,3400927384196,83
32,1,60,814,3400927384257,21
32,1,60,814,3400938014792,1205
32,1,60,814,3400938014853,1583
32,1,60,814,3400939914749,107
32,1,60,815,3400938015164,1268
32,2,20,814,3400921867244,6297
32,2,20,814,3400939507941,6256
32,2,20,815,3400939510491,2117
32,2,60,814,3400949625178,268
32,2,60,815,3400939279961,14
44,1,20,814,3400922164199,910
44,1,20,814,3400938632040,589
44,1,20,815,3400921867992,1221
44,1,20,815,3400922161709,515
44,1,60,814,3400921866643,7289
44,1,60,814,3400921867244,8894
44,1,60,814,3400938621914,1201
44,1,60,814,3400939507361,2725
44,1,60,815,3400939511092,2561
44,1,60,815,3400939914169,56
44,2,20,814,3400926775636,73
5,1,60,814,3400921866643,6660
5,1,60,814,3400922162997,1098
5,1,60,814,3400938621914,1301
5,1,60,814,3400939507361,45
5,1,60,815,3400922164489,1018
5,1,60,815,3400938014914,970
5,2,20,814,3400922161587,2526
5,2,20,814,3400938014792,432
5,2,20,814,3400938014853,241
5,2,20,815,3400922161648,4563
5,2,60,815,3400938015164,708
11,1,20,814,3400922161587,1835
11,1,20,814,3400926775636,13
11,1,20,814,3400938014792,1376
11,1,20,814,3400938014853,1715
11,1,20,815,3400922161648,1014
11,1,60,814,3400927384257,99
11,1,60,814,3400939914749,371
11,1,60,815,3400938015164,2763
11,2,20,814,3400921867244,11036
11,2,20,814,3400939507361,5620
11,2,20,815,3400939510491,2611
11,2,60,814,3400922165660,58
11,2,60,814,3400927384196,246
11,2,60,814,3400949625178,666
11,2,60,815,3400939279961,53
11,2,60,815,3400949626298,238
24,1,20,814,3400921867244,2239
24,1,20,814,3400939507361,1113
24,1,60,814,3400927384196,24
24,1,60,814,3400949625178,944
24,1,60,815,3400939279961,66
24,1,60,815,3400949626298,348
24,2,20,815,3400938015164,95
24,2,20,815,3400939279442,19
24,2,20,815,3400939511092,531
24,2,60,814,3400921866643,8990
24,2,60,814,3400922162997,4018
24,2,60,814,3400938621914,1045
24,2,60,815,3400921868654,3448
24,2,60,815,3400922164489,2152
24,2,60,815,3400927384486,19
24,2,60,815,3400938014914,1160
24,2,60,815,3400938681185,415
24,2,60,815,3400939914459,26
27,1,20,814,3400922162997,307
27,1,20,814,3400939507941,1073
27,1,20,815,3400921868654,1152
27,1,20,815,3400922164489,185
27,1,20,815,3400922165141,270
27,1,20,815,3400938014914,88
27,1,20,815,3400938681185,410
27,1,20,815,3400939914459,17
27,1,60,814,3400922161419,1392
27,1,60,814,3400939278551,230
27,1,60,814,3400939278902,157
27,1,60,814,3400949625529,112
27,1,60,815,3400939510491,2207
27,1,60,815,3400949625987,364
27,2,20,814,3400938632040,561
27,2,20,814,3400939909608,31
27,2,20,815,3400921867992,662
27,2,60,814,3400922164199,1842
27,2,60,815,3400922161709,899
27,2,60,815,3400939511092,2092
28,1,20,814,3400922161419,298
28,1,20,814,3400939278902,36
28,1,20,814,3400949625529,27
28,1,20,815,3400938679007,162
28,1,20,815,3400939510491,648
28,1,20,815,3400949625987,23
28,1,60,814,3400922161587,675
28,1,60,814,3400938014792,852
28,1,60,814,3400938014853,946
28,1,60,815,3400922161648,1016
28,2,20,814,3400922164199,751
28,2,20,814,3400939507941,1313
28,2,20,815,3400922161709,113
28,2,20,815,3400922165141,319
28,2,60,814,3400921867244,10930
28,2,60,814,3400939507361,5377
32,1,20,814,3400927384196,37
32,1,20,814,3400949625178,48
32,1,20,815,3400949626298,74
32,1,60,814,3400938632040,1775
32,1,60,814,3400939909608,325
32,1,60,815,3400921867992,7782
32,1,60,815,3400926775865,118
32,1,60,815,3400927384318,45
32,2,20,814,3400921866643,3472
32,2,20,814,3400922162997,830
32,2,20,814,3400938621914,802
32,2,20,814,3400939507361,3877
32,2,20,815,3400921868654,2402
32,2,20,815,3400922164489,405
32,2,20,815,3400927384486,12
32,2,20,815,3400938014914,340
32,2,20,815,3400938681185,439
32,2,20,815,3400939914459,28
32,2,60,814,3400922161419,6165
32,2,60,814,3400926775575,153
32,2,60,814,3400939278551,76
32,2,60,814,3400939278902,39
32,2,60,814,3400949625529,105
32,2,60,815,3400938679007,2173
32,2,60,815,3400939510491,11778
32,2,60,815,3400949625987,177
44,1,20,814,3400939914749,42
44,1,20,815,3400938015164,293
44,1,20,815,3400939279442,25
44,1,20,815,3400939511092,937
44,1,60,814,3400922162997,1556
44,1,60,814,3400922164199,2625
44,1,60,814,3400939507941,3585
44,1,60,815,3400921868654,5270
44,1,60,815,3400922161709,1489
44,1,60,815,3400922165141,1668
44,1,60,815,3400926775926,145
44,1,60,815,3400938014914,995
5,1,20,814,3400922161419,3858
5,1,20,815,3400938679007,413
5,1,60,814,3400922161587,2679
5,1,60,814,3400938014792,816
5,2,20,814,3400922162997,625
5,2,20,814,3400939507941,16
5,2,20,815,3400921868654,625
5,2,20,815,3400922164489,417
5,2,20,815,3400922165141,117
5,2,20,815,3400938014914,329
5,2,20,815,3400938681185,138
5,2,60,814,3400922161419,16687
5,2,60,815,3400939510491,66
11,1,20,814,3400922162997,5464
11,1,20,814,3400939507941,7785
